Meter identifier,Aerial_info,dc_day,dc_month,dc_week,latitude,longitude
M56997,No Aerial,100,99.97685185,100,-37.400608,175.148134
M61894,No Aerial,100,100,100.0496032,-37.400123,175.148019
M28879,No Aerial,100,99.98842593,100,-37.670199,175.146135
M46070,No Aerial,100,99.97685185,99.95039683,-37.667155,175.145185
M23425,No Aerial,100,100.0115741,100,-37.802235,175.237516
M54993,No Aerial,100,99.98842593,100,-37.803112,175.237838
M22691,No Aerial,100,100,99.95039683,-37.802939,175.237958
M42261,No Aerial,100,100,99.90079365,-37.61574191,175.1903416
M7945,No Aerial,100,100.0115741,100.0496032,-37.39783,175.150698
M17241,No Aerial,100,100.0347222,100,-37.415818,175.112763
M33118,No Aerial,100,100.0115741,100,-37.398575,175.148392
M5918,No Aerial,100,100.0115741,100.0496032,-37.580502,175.159726
M12838,No Aerial,100,100.0462963,100,-37.398651,175.148214
M56778,No Aerial,100,100.0578704,100.1488095,-37.40499,175.135268
M53571,No Aerial,100,99.98842593,99.95039683,-37.546313,175.174336
M29865,No Aerial,100,99.98842593,100,-37.406212,175.138771
M37669,No Aerial,100,99.97685185,100,-37.403017,175.142984
M63943,No Aerial,100,100,100.1488095,-37.397878,175.148056
M6649,No Aerial,100,100.0115741,100,-37.404346,175.139504
M60024,Aerial Installed - Enabled,100,99.9537037,100,-37.473151,175.145701
M19472,No Aerial,100,100.0231481,100,-37.771383,175.175416
M58731,No Aerial,100,100.0115741,100,-37.572984,175.105439
M56798,No Aerial,100,100.0347222,100.0496032,-37.812858,174.966085
M16546,No Aerial,99.65277778,100.0115741,99.95039683,-37.44566,175.081117
M31605,No Aerial,100,99.82638889,100,-37.266043,175.266176
M37746,No Aerial,100,100,100,-37.564708,175.158357
M39473,No Aerial,100,99.98842593,100,-37.564708,175.158357
M45357,No Aerial,100,100.0231481,100,-37.67706333,175.31702
M11365,No Aerial,99.65277778,99.67592593,99.85119048,-37.678962,175.397816
M25750,No Aerial,100,99.91898148,100,-37.624584,175.2593
M39182,No Aerial,100,98.35648148,100,-37.854995,175.174296
M9300,Aerial Installed - Enabled,100,99.375,97.2718254,-37.40365,175.220764
M54484,No Aerial,100,100,100,-37.836892,175.12405
M7962,No Aerial,100,99.87268519,100,-37.353859,175.064275
M23533,No Aerial,100,100.0231481,100.0496032,-37.67843833,175.31494
M65193,No Aerial,100,99.6875,99.45436508,-37.761134,175.111092
M26444,No Aerial,100,100.0115741,100,-37.625964,175.252863
M1343,No Aerial,100,100,100,-37.573844,175.078362
M603,Aerial Installed - Enabled,100,100.0115741,100,-37.886346,175.183727
M62573,No Aerial,100,99.78009259,100,-37.290099,175.296621
M19194,No Aerial,100,100,100,-37.580635,175.292749
M69040,No Aerial,100,99.31712963,100.0496032,-37.81041807,175.2367211
M68621,No Aerial,100,100,99.95039683,-37.807572,175.143939
M36895,No Aerial,100,100,100,-37.81263,174.96561
M7614,No Aerial,100,100.0115741,100,-37.605002,175.349438
M55480,No Aerial,100,99.98842593,100,-37.812592,174.965234
M64898,No Aerial,100,99.94212963,99.85119048,-37.880617,175.216003
M595,No Aerial,100,99.72222222,99.6031746,-37.760242,175.110407
M38574,No Aerial,100,99.98842593,99.95039683,-37.832343,174.86066
M53088,No Aerial,100,100,100,-37.800492,175.155102
M47821,No Aerial,100,100.0115741,100.0496032,-37.813129,174.918436
M59629,No Aerial,100,100,99.95039683,-37.405533,175.153195
M61318,No Aerial,100,100.0115741,100.0496032,-37.812765,174.964856
M676,No Aerial,100,99.98842593,99.95039683,-37.689609,175.314808
M33006,No Aerial,100,100.0231481,100,-37.881704,175.147793
M3787,No Aerial,100,100.0115741,100,-37.828954,175.180975
M36594,No Aerial,0,0,0,-37.376094,175.321456
M15420,No Aerial,100,99.98842593,100,-37.396747,175.122804
M64634,No Aerial,100.3472222,100.0115741,100,-37.452592,175.047207
M6817,No Aerial,100,99.28240741,96.92460317,-37.831635,175.204868
M11858,No Aerial,100,100.0115741,99.95039683,-37.873671,175.173467
M15145,No Aerial,100,100,100,-37.878534,175.028662
M55197,No Aerial,100,100,100,-37.791027,175.138173
M37359,No Aerial,100,100.0115741,100.0496032,-37.675349,175.149027
M8812,No Aerial,100,99.67592593,100,-37.259342,175.286564
M47510,No Aerial,100,100.0115741,100,-37.784608,175.164735
M31038,No Aerial,99.65277778,100,100,-37.79297,175.135942
M65964,No Aerial,97.91666667,99.51388889,99.75198413,-37.670414,175.099817
M62424,No Aerial,100,82.30324074,88.93849206,-37.803791,175.195075
M63042,No Aerial,100,100.0115741,100,-37.406765,175.124574
M46806,No Aerial,100,99.98842593,100,-37.795897,175.141228
M21446,No Aerial,100,100,100,-37.71472,175.106697
M11478,No Aerial,100,100.0115741,100.0496032,-37.625118,175.178454
M27573,No Aerial,100,100,100,-37.674828,175.068184
M44489,Aerial Installed - Enabled,0,0,0,-37.679293,175.286599
M46639,No Aerial,100,99.84953704,100,-37.669065,175.148088
M23952,No Aerial,100,99.98842593,100,-37.894891,175.203503
M41476,No Aerial,100,100.0231481,100,-37.83821,174.860972
M24673,No Aerial,100,100.0347222,100.1488095,-37.838673,174.86175
M3735,No Aerial,100,100.0231481,100,-37.547883,175.181069
M49205,No Aerial,100,100,100.0496032,-37.772536,175.179608
M31166,No Aerial,100,100.0115741,100,-37.59285,175.274718
M8240,No Aerial,100,100.0115741,100,-37.529761,175.201873
M58255,Aerial Installed - Enabled,100,99.94212963,100,-37.865177,174.888081
M47689,No Aerial,100,99.98842593,100,-37.884486,174.868528
M63336,No Aerial,100,100,100,-37.698595,175.136916
M21088,No Aerial,100,100,100,-37.399099,175.133926
M27552,No Aerial,100,100,100,-37.81428,174.903591
M28628,Aerial Installed - Enabled,100,100.0231481,100.0496032,-37.699686,174.989525
M65927,Aerial Installed - Enabled,100,100.0115741,100,-37.570423,175.348149
M62712,No Aerial,100,99.97685185,100,-37.433425,175.150302
M20669,No Aerial,100,99.91898148,100,-37.201318,175.274593
M31698,No Aerial,100,100.0231481,100,-37.795674,175.135622
M60263,No Aerial,100,100,100,-37.667039,175.149105
M21047,No Aerial,100,99.98842593,99.95039683,-37.516419,175.026496
M63299,No Aerial,100,99.96527778,100,-37.885568,174.829474
M16133,No Aerial,100,100.0231481,100,-37.394844,175.124452
M4785,No Aerial,100,100.0462963,100.0496032,-37.797599,175.14419
M7513,No Aerial,100,100.0115741,100,-37.805125,175.144697
M30634,No Aerial,100,99.90740741,100,-37.201986,175.297427
M57564,No Aerial,100,99.47916667,98.75992063,-37.765937,175.114606
M4488,Aerial Installed - Enabled,100,83.78472222,93.40277778,-37.63664686,175.2518964
M41646,No Aerial,100,100,100,-37.79473636,175.1550707
M47392,No Aerial,100,100,100,-37.679447,175.317166
M11964,No Aerial,100,100.0115741,100,-37.67839,175.315515
M20792,No Aerial,100,100.0231481,99.95039683,-37.676023,175.315669
M45807,No Aerial,100,100,100,-37.666229,175.150714
M13146,No Aerial,100,100.0115741,99.95039683,-37.808196,175.141279
M546,No Aerial,100,99.98842593,100,-37.628946,175.256113
M18402,No Aerial,100,100.0115741,100,-37.542731,175.243203
M38765,No Aerial,100,100,100,-37.676815,175.316315
M23061,Aerial Installed - Enabled,100,82.60416667,100,-37.748102,174.971615
M32724,No Aerial,100,100,100,-37.4144,175.118018
M26693,No Aerial,100,99.98842593,100,-37.771598,175.188562
M31573,No Aerial,100,100,100,-37.570546,175.263682
M40146,No Aerial,0,0,0,-37.303354,175.256251
M64643,No Aerial,100,100,100,-37.392936,175.125
M18487,Aerial Installed - Enabled,100,98.49537037,93.79960317,-37.279558,175.314864
M19125,No Aerial,100,100,100,-37.484185,175.321052
M24749,No Aerial,100,99.1087963,100,-37.972759,174.907395
M29493,No Aerial,100,100.0231481,100.0496032,-37.516821,175.047536
M3021,No Aerial,100,100.0231481,100.0496032,-37.613077,175.276263
M22893,No Aerial,100,100,100,-37.560992,175.282728
M65988,No Aerial,98.61111111,99.62962963,99.70238095,-37.683306,175.104984
M58126,No Aerial,100,100.0115741,100.0496032,-37.79936705,175.2015085
M3142,No Aerial,100,100,100,-37.811082,175.16149
M23493,Aerial Installed - Enabled,100,10.68287037,45.78373016,-37.278913,175.313648
M44245,No Aerial,100,100.0231481,100,-37.891445,175.202873
M56821,No Aerial,100,100.0462963,100.0496032,-37.612796,175.190847
M25723,No Aerial,100,100.0231481,100,-37.804238,175.242154
M333,No Aerial,100,99.79166667,99.90079365,-37.398386,175.156287
M15057,No Aerial,100,100.0231481,100,-37.665626,175.142028
M42754,No Aerial,100,99.98842593,100,-37.540358,175.159914
M27591,No Aerial,99.65277778,99.97685185,100,-37.803565,175.240762
M6965,No Aerial,100,100,100,-37.787212,175.237776
M40841,No Aerial,100,99.97685185,99.95039683,-37.787054,175.237737
M17895,No Aerial,100,100.0115741,100,-37.787144,175.237746
M7705,No Aerial,100,99.98842593,100,-37.402873,175.137504
M14220,No Aerial,100,99.98842593,100,-37.398243,175.150006
M16408,No Aerial,99.65277778,99.96527778,99.90079365,-37.408682,175.134157
M67596,No Aerial,100,100,100,-37.402708,175.137319
M40489,No Aerial,100,100.0115741,100.0496032,-37.403752,175.137289
M17356,No Aerial,100,99.98842593,99.95039683,-37.91188,175.197564
M13579,No Aerial,100,99.97685185,100,-37.531935,175.047153
M1448,No Aerial,100,99.98842593,100,-37.403411,175.136607
M32331,No Aerial,100,100.0115741,99.95039683,-37.569534,175.152379
M7654,No Aerial,100,100.0115741,100,-37.40131,175.156741
M35469,No Aerial,100,100.0115741,100,-37.585198,175.284575
M17781,No Aerial,100,100.0231481,100,-37.800832,175.189933
M67497,No Aerial,100,99.87268519,100,-37.32025,175.068534
M8497,No Aerial,100,100,100,-37.668911,175.146767
M10416,No Aerial,100,100.0231481,100.0496032,-37.797004,175.235382
M38269,No Aerial,100,100.0115741,100,-37.66604,175.145561
M48194,No Aerial,100,100.0231481,99.95039683,-37.3982012,175.1563178
M15270,No Aerial,99.65277778,100,99.95039683,-37.407336,175.135064
M48771,No Aerial,100,100,100,-37.798246,175.245852
M25405,No Aerial,100,99.86111111,100.0496032,-37.319404,175.070509
M61310,No Aerial,100,100.0115741,100,-37.408716,175.133968
M3399,No Aerial,100,99.97685185,100,-37.545068,175.172253
M6253,No Aerial,100,100.0462963,100.0496032,-37.403463,175.137271
M6976,No Aerial,99.65277778,99.9537037,99.90079365,-37.403739,175.137463
M50934,No Aerial,100,99.97685185,99.90079365,-37.397886,175.157508
M38527,No Aerial,100,100.0231481,100,-37.390989,175.157215
M47876,No Aerial,100,100,100,-37.40302,175.13765
M13712,No Aerial,100,100.0231481,100,-37.406259,175.13341
M1197,No Aerial,100,99.98842593,100,-37.407118,175.132967
M53852,No Aerial,100,100.0231481,99.90079365,-37.61516,175.187497
