,Meter identifier,Aerial_info,dc_day,dc_month,dc_week,latitude,longitude
6908,M69406,No Aerial,93.05555556,98.4837963,92.01388889,-37.78358266,175.2453445
6909,M46629,No Aerial,100.0,98.93518519,100.0,-37.78302492,175.2456746
6910,M26767,No Aerial,99.30555556,98.7962963,99.6031746,-37.78317176,175.244855
6911,M32250,No Aerial,100.0,98.94675926,100.0,-37.7830729,175.2447246
6912,M26207,No Aerial,100.0,98.94675926,100.0,-37.78307833,175.2458591
6913,M65326,No Aerial,100.0,98.98148148,100.0496032,-37.78290367,175.2462553
6914,M1037,No Aerial,100.0,100.0347222,100.0496032,-37.78091931,175.2448989
6915,M44750,No Aerial,100.0,100.0,100.0,-37.78091362,175.2442442
6916,M17788,No Aerial,100.0,100.1157407,100.3472222,-37.78024174,175.2441417
6917,M46442,No Aerial,100.0,100.0115741,100.0,-37.78065771,175.244846
6918,M21376,No Aerial,100.0,100.0231481,100.0992063,-37.55737554,175.1520481
6919,M60692,No Aerial,100.0,100.0,100.0,-37.79608849,175.232132
6920,M5261,No Aerial,98.95833333,97.7662037,98.80952381,-37.4156783,175.15168
6921,M60914,No Aerial,100.0,100.0231481,100.0,-37.78114707,175.2470351
6922,M3210,No Aerial,100.0,100.0,100.0,-37.50723375,175.1213109
6923,M57987,No Aerial,100.0,100.0231481,100.0496032,-37.81511886,175.1322314
6924,M31399,No Aerial,100.0,100.0115741,100.0496032,-37.79722597,175.2307969
6925,M2383,No Aerial,100.0,99.98842593,100.0,-37.56064276,175.1476708
6926,M53795,No Aerial,100.0,100.0115741,100.0,-37.5447822,175.1725534
6927,M16710,No Aerial,100.0,86.59722222,81.10119048,-37.845377,175.214315
6928,M40443,No Aerial,100.0,98.95833333,100.0,-37.78201554,175.2440767
6929,M36552,No Aerial,100.0,98.95833333,100.0,-37.78280106,175.2442944
6930,M45458,No Aerial,100.0,100.0115741,100.0,-37.549416,175.15345
6931,M49441,No Aerial,100.0,100.0115741,100.0,-37.78748502,175.2303945
6932,M39430,No Aerial,100.0,99.82638889,99.65277778,-37.78892604,175.2345716
6933,M23037,No Aerial,98.95833333,99.87268519,100.1488095,-37.79009774,175.230553
6934,M25048,No Aerial,100.0,100.0231481,100.0496032,-37.789145,175.23392
6935,M39568,No Aerial,100.0,100.0115741,100.0,-37.78912667,175.2338167
6936,M24793,No Aerial,100.0,100.0115741,100.0496032,-37.78916167,175.23349
6937,M41284,No Aerial,100.0,100.0231481,100.0,-37.78755847,175.2335158
6938,M66030,No Aerial,100.0,100.0,100.0,-37.78969546,175.2299938
6939,M9458,No Aerial,100.0,100.0115741,100.0,-37.78930043,175.2306941
6940,M44673,No Aerial,100.0,100.0115741,100.0,-37.81816283,175.2180209
6941,M45916,Aerial Installed - Enabled,100.0,100.0115741,100.0,-37.638813,175.258306
6942,M21816,No Aerial,100.0,100.0115741,100.0,-37.79423566,175.2299652
6943,M14641,No Aerial,100.0,100.0231481,100.0,-37.793915,175.229498
6944,M26684,No Aerial,100.0,100.0,100.0,-37.79416025,175.2298689
6945,M36236,No Aerial,100.0,100.0231481,100.0,-37.411474,175.151918
6946,M61936,No Aerial,100.0,99.98842593,100.0,-37.790375,175.229955
6947,M35687,No Aerial,100.0,100.0115741,100.0,-37.793991,175.228999
6948,M7609,No Aerial,100.0,100.0231481,100.0496032,-37.78699833,175.22999
6949,M63134,No Aerial,100.0,99.98842593,100.0,-37.79102167,175.2293133
6950,M53413,No Aerial,100.0,99.9537037,100.0496032,-37.78901667,175.2311283
6951,M1425,No Aerial,100.0,99.98842593,99.95039683,-37.78705833,175.23004
